MH_E;MH_EM;MH_EW;MH_U1;MH_1U6;MH_6U15;MH_15U18;MH_18U25;MH_25U55;MH_55U65;MH_65U80;MH_80U110;E_A;E_AM;E_AW;E_AU1;E_A1U6;E_A6U15;E_A15U18;E_A18U25;E_A25U55;E_A55U65;E_A65U80;E_A80U110;E_E;E_EM;E_EW;E_U1;E_1U6;E_6U15;E_15U18;E_18U25;E_25U55;E_55U65;E_65U80;E_80U110
171041;89817;81224;2449;12465;18872;5764;18672;90883;12179;8504;1253;107069;57048;50021;592;3139;4657;2239;12949;67744;7994;6879;876;356506;184132;172374;3730;17527;25126;7794;35346;185385;34228;36206;11164
106709;54823;51886;1376;7043;10906;3474;10568;60836;6547;5170;789;65364;33964;31400;256;1055;1497;1118;6911;45026;4416;4427;658;275691;140850;134841;3044;13784;18315;5457;21486;163081;23099;20791;6634
60318;30462;29856;1149;5306;6497;1404;5074;36443;2851;1347;247;37472;19178;18294;236;1091;1214;432;3919;27923;1731;804;122;384367;188241;196126;4269;21510;29329;7406;21550;205549;35984;43447;15323
120157;59946;60211;1370;7179;11433;3460;9540;61699;13679;9434;2363;71480;36341;35139;283;1525;2521;1066;6215;42217;8684;7094;1875;326354;156956;169398;2420;12049;20100;6739;22842;142592;44896;57578;17138
68215;34312;33903;977;5595;9270;2856;5966;31646;6905;4202;798;32159;16228;15931;254;1326;1981;843;3208;18403;3090;2657;397;230419;111712;118707;1963;10745;18450;6544;18154;93330;29404;39634;12195
70517;34300;36217;898;4978;8533;2743;5955;33114;7898;5159;1239;36974;17902;19072;154;752;1304;687;3871;21097;4402;3774;933;299268;140308;158960;2203;12253;22985;8061;20195;117529;39566;58046;18430
46473;23764;22709;546;2859;4887;1609;4099;23779;4656;3381;657;27096;14137;12959;77;442;820;594;2640;16296;3001;2714;512;121045;60614;60431;1068;5129;8255;2743;9182;59787;15914;15188;3779
137291;70637;66654;2096;10723;17024;5377;12552;70188;10933;7255;1143;76517;39877;36640;426;2222;3194;1799;7389;48578;6382;5722;805;325716;161791;163925;3271;15664;24061;8314;26787;155195;35565;44488;12371
23246;11961;11285;440;2114;3001;768;2279;12071;1649;746;178;12855;6803;6052;109;494;689;263;1590;8389;829;422;70;249440;121312;128128;2320;11368;16799;5014;14521;111060;29542;42771;16045
34638;17150;17488;641;3309;4839;1218;3248;16096;3359;1478;450;15050;7540;7510;190;806;1131;385;1771;9347;1019;350;51;256173;125968;130205;2363;13085;19536;5584;16403;110757;42487;35913;10045
48077;24992;23085;838;4386;5756;1514;6007;24069;3747;1382;378;28010;14954;13056;259;1331;1776;731;4302;17104;1848;565;94;268465;132161;136304;2653;13326;17692;4912;18920;123347;33538;40680;13397
69265;34898;34367;1115;6146;9961;3137;6006;32017;6566;3743;574;34348;17340;17008;255;1444;2331;1077;3522;19727;3134;2532;326;254000;123469;130531;2103;11612;20373;7390;18857;99904;32820;47097;13844
